dataset,item_id,item_text_hash,gpt4omini_score,gpt54_score,gpt4omini_raw_hash,gpt54_raw_hash,gpt4omini_attempts,gpt54_attempts,prompt_hash,protocol_version
dbe_kt22,2,41c835f7d8b350b767502375abdaef8de4ed048640534969e3bf063230bcf92f,0.1,0.0,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,3,6c96444257077e6aaf62d18406c27b50fe9cfc6a8812b9c00db46f7030897da2,0.1,0.0,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,4,bb634078fde5f25fa05ea99b3e72058a78d4f756460a1355a0042e847101a764,0.3,0.1,221764976efe04132774d96b0253cc31434c5261737469324f222621baf34b20,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,5,8ed4c92fe334845871c5257498b5dc8788e79f98728a9978e2f41b399be27a1a,0.2,0.2,44896b09365746b5f7167ee4d64988a38f7f4628803cbf86224e74eeb7c69e9d,44896b09365746b5f7167ee4d64988a38f7f4628803cbf86224e74eeb7c69e9d,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,6,c2ef16794db80e9ed05154232478fa9ef5c4e353c36999bad4f1cf7ecefabc59,0.2,0.0,44896b09365746b5f7167ee4d64988a38f7f4628803cbf86224e74eeb7c69e9d,8aed642bf5118b9d3c859bd4be35ecac75b6e873cce34e7b6f554b06f75550d7,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,7,f8759675c955526cdcf080b6ebc78bdeb868f5f3825d25d1fde6d3615f265c10,0.2,0.1,44896b09365746b5f7167ee4d64988a38f7f4628803cbf86224e74eeb7c69e9d,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,8,a6490ecf853c5ec30da1347cb4bf4c8dc4114c0fa4a449413b533dc366ca667d,0.3,0.1,221764976efe04132774d96b0253cc31434c5261737469324f222621baf34b20,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,9,7feb2a6821a027ac2f9387e3a1fa910c7fd8367bfa36cdba08574867f4c76ee2,0.2,0.1,44896b09365746b5f7167ee4d64988a38f7f4628803cbf86224e74eeb7c69e9d,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,10,b8011d9169dd1180f972e6cd05fbf2fd2b457cbbc7e153eb858ed162bff8d3df,0.3,0.1,221764976efe04132774d96b0253cc31434c5261737469324f222621baf34b20,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
dbe_kt22,11,607c687fe93c9a70ddbb85db285703fbe2c7a365aacbfa2eea5744bdcb28d50a,0.3,0.1,221764976efe04132774d96b0253cc31434c5261737469324f222621baf34b20,14be4b45f18e0d8c67b4f719b5144eee88497e413709d11d85b096d8e2346310,1,1,d99a9645219033e713bb78fd31dc3d74826bf31adf1a0e5977f30fcbda911c35,1.2.0
