item_id,item_id_hash,char_length,character_length_score,transform_version,hash
2,dbe_2,111.0,0.0082324455205811,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
3,dbe_3,185.0,0.0440677966101694,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
4,dbe_4,224.0,0.0629539951573849,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
5,dbe_5,134.0,0.0193704600484261,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
6,dbe_6,179.0,0.0411622276029055,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
7,dbe_7,191.0,0.0469733656174334,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
8,dbe_8,211.0,0.0566585956416464,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
9,dbe_9,165.0,0.0343825665859564,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
10,dbe_10,168.0,0.0358353510895883,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
11,dbe_11,226.0,0.0639225181598062,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
12,dbe_12,176.0,0.0397094430992736,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
13,dbe_13,168.0,0.0358353510895883,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
14,dbe_14,348.0,0.123002421307506,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
15,dbe_15,205.0,0.0537530266343825,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
16,dbe_16,203.0,0.0527845036319612,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
17,dbe_17,206.0,0.0542372881355932,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
18,dbe_18,132.0,0.0184019370460048,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
19,dbe_19,126.0,0.0154963680387409,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
20,dbe_20,138.0,0.0213075060532687,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
21,dbe_21,146.0,0.0251815980629539,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
22,dbe_22,129.0,0.0169491525423728,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
23,dbe_23,233.0,0.0673123486682808,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
24,dbe_24,109.0,0.0072639225181598,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
25,dbe_25,113.0,0.0092009685230024,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
26,dbe_26,119.0,0.0121065375302663,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
27,dbe_27,140.0,0.02227602905569,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
28,dbe_28,163.0,0.0334140435835351,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
29,dbe_29,179.0,0.0411622276029055,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
30,dbe_30,222.0,0.0619854721549636,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
31,dbe_31,119.0,0.0121065375302663,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
32,dbe_32,119.0,0.0121065375302663,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
33,dbe_33,130.0,0.0174334140435835,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
34,dbe_34,124.0,0.0145278450363196,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
35,dbe_35,122.0,0.0135593220338983,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
36,dbe_36,128.0,0.0164648910411622,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
37,dbe_37,124.0,0.0145278450363196,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
38,dbe_38,125.0,0.0150121065375302,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
39,dbe_39,136.0,0.0203389830508474,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
40,dbe_40,195.0,0.048910411622276,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
41,dbe_41,227.0,0.0644067796610169,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
42,dbe_42,178.0,0.0406779661016949,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
43,dbe_43,182.0,0.0426150121065375,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
44,dbe_44,419.0,0.1573849878934624,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
45,dbe_45,149.0,0.0266343825665859,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
46,dbe_46,184.0,0.0435835351089588,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
47,dbe_47,125.0,0.0150121065375302,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
48,dbe_48,169.0,0.036319612590799,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
49,dbe_49,175.0,0.0392251815980629,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
50,dbe_50,213.0,0.0576271186440678,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
51,dbe_51,134.0,0.0193704600484261,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
52,dbe_52,176.0,0.0397094430992736,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
53,dbe_53,175.0,0.0392251815980629,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
54,dbe_54,210.0,0.0561743341404358,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
55,dbe_55,96.0,0.0009685230024213,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
56,dbe_56,208.0,0.0552058111380145,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
57,dbe_57,145.0,0.0246973365617433,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
58,dbe_58,149.0,0.0266343825665859,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
59,dbe_59,124.0,0.0145278450363196,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
60,dbe_60,258.0,0.0794188861985472,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
61,dbe_61,174.0,0.0387409200968523,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
62,dbe_62,172.0,0.0377723970944309,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
63,dbe_63,230.0,0.0658595641646489,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
64,dbe_64,238.0,0.0697336561743341,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
65,dbe_65,399.0,0.1476997578692493,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
66,dbe_66,341.0,0.1196125907990314,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
67,dbe_67,498.0,0.1956416464891041,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
68,dbe_68,153.0,0.0285714285714285,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
69,dbe_69,158.0,0.0309927360774818,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
70,dbe_70,165.0,0.0343825665859564,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
71,dbe_71,149.0,0.0266343825665859,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
72,dbe_72,185.0,0.0440677966101694,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
73,dbe_73,159.0,0.0314769975786924,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
74,dbe_74,177.0,0.0401937046004842,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
75,dbe_75,190.0,0.0464891041162227,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
76,dbe_76,227.0,0.0644067796610169,min_max_over_166_universe_v1,280e98d48dfc19b903719873d58f25b839d3cce6d2562461e13f946f109fe9cd
