dataset,item_id_hash,source_content_hash,n_models,has_duplicate_scores,join_complete
xes3g5m,00026608b976f2d30d1ea6010b2217f4cdd673f9ed11e5ee0457a510d0bbde29,4aa560ab2f0c70fb3fcc93718a92eee2eb0fc6ad947023cfa0d8341b48d87916,2,False,True
xes3g5m,000a71d8294c161f97eb8f73c355526778dc27bc0fbe6643d3a13e72591232c3,e907d2c32a1b8cd37ca43927c97fffc70f77b2d4dd002531aa2abe9e09fc7e36,2,False,True
xes3g5m,000e72acee374b6a37d19f3c476887a57ad3dc838236b706a6c5266c89e9a761,23ba1b152547bd8983e1ac4708dc0b4b7697968216e0b8f9fd5e3cf5c52f32cf,2,False,True
xes3g5m,001c460f64ade24287cfb63bc96d654f7bcb7abbaddc4ded7b070262835ba6db,2c02cb701cb84c1585c972533d6f0bb84edb56e3cff4bb2fd738e92384c42e7d,2,False,True
xes3g5m,001e669d5c0018592993e920855522d51dea8de634fed6285c7d1c70c5c721bf,7afa20c1f1052779cbdf19af161d6b9807eef832154c034ada5784e5f7d96438,2,False,True
xes3g5m,00488addeaa0d12715c9851143d5500a9231c133a9d6c6b104905de4c5a33243,625a097775c74481cbe734345c71cfc907c18293598c29d9038de330e02e843c,2,False,True
xes3g5m,004bb6f3124df430ed031a6cd8684ec1f1ab7fe1f8b7cb39a2c61d2181678c3c,ce65aee204602d830c361e2c6ce89787d451c2f67742fbfc362172225437bf78,2,False,True
xes3g5m,004ef1dcfc684527e9e08d17a634859b1ef52dc9c1254595b357b1aa32f7e043,d0de685cc48173c077973c3c2e5b8c789702beb2897e7b0abd3f78b934e555f6,2,False,True
xes3g5m,0053b0b5f098746f5b876ec97df881e8f2937c0b2caf779a37892f22f9e22a88,2317728d899eb84188f7e4c0aa4e72c0b0a0b8925f7b979dd232b59585f26be0,2,False,True
xes3g5m,00577239d64c7f3e0f5bbae566397c42eed090bd06327ac704129fdc368294c0,5a597337d9f2a263929f01224e0ccdc6436adfc6ad01edc094b3466bf381d738,2,False,True
xes3g5m,0069538772fdc31c1f948f0182864a6b10d87eaedb2c1570872bbf8697783417,f8f22a99f4854ef7af06d21e39b3e4cd4e6d58abc81a370fda6dda6454d13bd4,2,False,True
xes3g5m,006bb942bccc46ccd785621a1ac0f450ebaa5dae0632cae689ed6cb670a6151f,21f31d8b1265d542d6b0032707ef4c17a5d85fb671fd1320296d4a553dc0d464,2,False,True
xes3g5m,0081d20c9a60f370a1aea090fcbc3ee54cda3b42777520c90f26ad9297a623d8,eb98829fbd591fa5d85edd63d16441af63c8a1e5b1ed28866fbf88827625e622,2,False,True
xes3g5m,0091f3a7287fbeebb36331b740754615cf89428fe174acddb89d93ca962ae72d,2af717aaaf3a75976722de451ab8706ce34e0a538048a66943247f18e1082925,2,False,True
xes3g5m,009fadd25b90a08e2447f0809d0073a20303b7ec56305c84f874b8b10998aaba,34038fdde3b12620c61fd040f702196cba804a4d63928e803ed92d501d31a3b5,2,False,True
xes3g5m,00a82e424d0e5f014090d3491703a547cd9dee09134e27f33cd983f045a7b9f9,51bb6e35b6027fbcc1abc9375456efc6e7bf7d99c8786711c4cd9366161199aa,2,False,True
xes3g5m,00bcd624d8a2608a47f4ccfcf2bb191d9818b2dbf305cf997f2bad57f6210ae4,0c0ffc7804600d0c406e89df9a0fe7d204cbed2d7e9485faf8dd32565a6b414d,2,False,True
xes3g5m,00bf564fe013eef9a15963af15c97088bc9ebc688c45df85e0e7091f6106d7eb,216b1a2d314c6d7954794cf8f4a1736d5afe68c718a6eca9df82845411d0a2d5,2,False,True
