dataset,item_id_hash,response_count,correct_count,incorrect_count,raw_error_rebuilt,ref_raw_error_rate,smoothed_error_rebuilt,smoothed_correctness_rebuilt,ref_smoothed_error_beta_1_1
xes3g5m,11fb99692b25f9dafd48d4aa261a7515f40d73eebf7ca653ccf787eced9651c7,4,3,1,0.25,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666
xes3g5m,868a8433a1f6f35316d51af5f845fa436a83f9dad9cc5f1b91feb1e825ec9eb2,6,3,3,0.5,0.5,0.5,0.5,0.5
xes3g5m,2e96708bbb57189a4cf59c08db1d5665a9e834f25ebc3b5189bfa794db2d8928,35,25,10,0.2857142857142857,0.2857142857142857,0.2972972972972973,0.7027027027027027,0.7027027027027027
xes3g5m,18b7a0ecbec61b21969703938d8bee3c193cce43649ec2ca803af3649fed2fe9,51,44,7,0.13725490196078433,0.1372549019607843,0.1509433962264151,0.8490566037735849,0.8490566037735849
xes3g5m,0fade9e6ce26cb9487324188fbebe0bbf90706e938a17732c87581f13bdafe74,72,67,5,0.06944444444444445,0.0694444444444444,0.08108108108108109,0.918918918918919,0.918918918918919
xes3g5m,5edfe8acb4a618a92112af4224e274587e8060757a26ad892bd4e378698f0c16,109,62,47,0.43119266055045874,0.4311926605504587,0.43243243243243246,0.5675675675675675,0.5675675675675675
xes3g5m,aa02db6a672725934e13c45eac13264e06e220d084d31fc3dcc1f47e4494d3e6,102,86,16,0.1568627450980392,0.1568627450980392,0.16346153846153846,0.8365384615384616,0.8365384615384616
xes3g5m,7509f386aa8c332d248f22b82bd55b79dea94e7ef4f59a7e1a96d54c5940dad5,14,14,0,0.0,0.0,0.0625,0.9375,0.9375
xes3g5m,8079aa5dae1ee850cd5d0230bef449e2ad37bc31f860b3ee8bdff449bd3fd65e,141,109,32,0.22695035460992907,0.226950354609929,0.23076923076923078,0.7692307692307693,0.7692307692307693
xes3g5m,0b4183341dfc08028ff0413f6162928643628b2e46e4abbd0b598d2b993f855c,35,32,3,0.08571428571428572,0.0857142857142857,0.10810810810810811,0.8918918918918919,0.8918918918918919
xes3g5m,8a5e8ce6c1a5f9d2e93048ff6119318afd3fd18e1b2b8eb20877db7cede0b8b1,10,5,5,0.5,0.5,0.5,0.5,0.5
xes3g5m,aec83953b7ebfc106e9cc43ce6d5e097b515f0b45820cc316f7d131717171904,5,3,2,0.4,0.4,0.42857142857142855,0.5714285714285714,0.5714285714285714
xes3g5m,57ab7785bf9098f1e7ecc48f6921d1b9a403964ac06ba0c8262fdd8203099504,237,205,32,0.1350210970464135,0.1350210970464135,0.13807531380753138,0.8619246861924686,0.8619246861924686
xes3g5m,b99db9ab852c6f8753364278ffb69f46bcf38ab14b8e198b70ab12286c0736af,13,11,2,0.15384615384615385,0.1538461538461538,0.2,0.8,0.8
xes3g5m,498daac3790d5e2a78145a27b45491961ebbf679c0e0e70dccd915e8040af71a,371,328,43,0.11590296495956873,0.1159029649595687,0.11796246648793565,0.8820375335120644,0.8820375335120644
xes3g5m,97fee306ff1adebe178814a8dd00668110e54b648d67d9d7b86dee427c27992e,11,4,7,0.6363636363636364,0.6363636363636364,0.6153846153846154,0.38461538461538464,0.3846153846153846
xes3g5m,bcae2a2544af45bc6edd284acdb6648d4d6616569895c6f7d19d7cf37d3a1817,1,1,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
xes3g5m,2d79563bf40b5e391c66bd26d8c194bfb73bfe4f7701d3f4d0b72ad5e0712470,1,1,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
xes3g5m,32ed2312b59ddfb81c9775ca41d732decd37423dc07ed898d674dc72a1eebbe3,131,114,17,0.1297709923664122,0.1297709923664122,0.13533834586466165,0.8646616541353384,0.8646616541353384
xes3g5m,7b4d152d469079cc3c0d64b308be0712c0aa1eafdcbabff8cdacf6e9c63b2038,33,30,3,0.09090909090909091,0.0909090909090909,0.11428571428571428,0.8857142857142857,0.8857142857142857
junyi,4a1bd671bcaf0e3889bda36e94795e398a36c563a4930b166c5f6d35654c6d40,700,156,544,0.7771428571428571,0.7771428571428571,0.7763532763532763,0.22364672364672364,0.2236467236467236
junyi,516daea6f5616679e1abd13cf682b980dfd1f24ee5e97b688598a163f18bbb7d,191,130,61,0.3193717277486911,0.3193717277486911,0.32124352331606215,0.6787564766839378,0.6787564766839378
junyi,13f972a78df331a698bcddaee9ac37c47deb6206e9f449a914253e81c97279e1,6701,5566,1135,0.16937770482017608,0.169377704820176,0.16947635387140086,0.8305236461285991,0.8305236461285991
junyi,6326ccde1b531a271ec7ee09fa00849214908182495ee4a8be20bd899718b6b8,343,177,166,0.4839650145772595,0.4839650145772595,0.48405797101449277,0.5159420289855072,0.5159420289855072
junyi,02ae0e09624e1236f8bda3c09d87245d5748bb5f14f5813dc9a8623f399324d5,8007,6256,1751,0.21868365180467092,0.2186836518046709,0.21875390186040705,0.781246098139593,0.781246098139593
junyi,176033fe3d935c13953dda631eacb7670a1e1bbdb945ad181028bc5b1269c1ae,9317,7268,2049,0.2199205752924761,0.2199205752924761,0.21998068462281362,0.7800193153771864,0.7800193153771864
junyi,41061dd725ee9be4c94855e94628575231564befedbc1869fcad51152bb2c74f,3206,2492,714,0.22270742358078602,0.222707423580786,0.22288029925187033,0.7771197007481296,0.7771197007481296
junyi,a4583213b549c96518b1ffb9180780c83f3915aeee8ab788b11be990a5019eaf,9047,7979,1068,0.11805018238089975,0.1180501823808997,0.11813460050834346,0.8818653994916565,0.8818653994916565
junyi,026ab88863cc769495504a6a92f73162e162ad4cecbf63a6ee69bae507e30465,570,250,320,0.5614035087719298,0.5614035087719298,0.5611888111888111,0.4388111888111888,0.4388111888111888
junyi,171a14ca07808b7943e237c9ab1f6290935579b1c248f364fa93cbf04c569c2e,834,260,574,0.6882494004796164,0.6882494004796164,0.687799043062201,0.31220095693779903,0.312200956937799
junyi,e46d6d1fa7c114025cf610bfb29a714a18e647b104daeae3dda4b054472c25cd,10011,7536,2475,0.24722804914593946,0.2472280491459394,0.24727853790072904,0.7527214620992709,0.7527214620992709
junyi,6d3735f6775671017f9ac8874a0dd55badfe5f0d3931e8878855b2edb83edeaa,791,581,210,0.26548672566371684,0.2654867256637168,0.266078184110971,0.733921815889029,0.733921815889029
junyi,5ef584c115a5a566e4bbacff1724ad7576a07265e2ffdf2234572036a1accf05,228,151,77,0.33771929824561403,0.337719298245614,0.3391304347826087,0.6608695652173913,0.6608695652173913
junyi,4fa9a34bd5ba60a39ddd61c5f9993f04a5387080821a33cf4686f96f6b1761cb,257,199,58,0.22568093385214008,0.22568093385214,0.2277992277992278,0.7722007722007722,0.7722007722007722
junyi,7add8c0b32544fcba7eb2ef842fdca655b18628577fbeae074c2cf13d799e67c,32970,25092,7878,0.2389444949954504,0.2389444949954504,0.23896032997695013,0.7610396700230498,0.7610396700230498
junyi,87764ef4cf93f16c78dd24934d84e379f0660e802032c9dd9093741bc3006996,34751,21723,13028,0.37489568645506605,0.374895686455066,0.37490288608177713,0.6250971139182229,0.6250971139182229
junyi,4d056fa4fc41aa31ef0a98003a0ec6f1325fb2e49583a200bb19c9f3f1e91399,1797,1579,218,0.1213132999443517,0.1213132999443517,0.1217342968315731,0.8782657031684269,0.8782657031684269
junyi,415854dd2bf159a1b744d3b86a5c42b8dfc13ef2f8d7587e4f0d5842483e965e,25212,21299,3913,0.15520387117245757,0.1552038711724575,0.15523122075037676,0.8447687792496232,0.8447687792496232
junyi,1f1e8826dd650dd66cd3c25811c073f50f0ee2e34136b04aa483cce9e940c7d6,2000,1550,450,0.225,0.225,0.22527472527472528,0.7747252747252747,0.7747252747252747
junyi,a19f7023197e58776b83d57a92926c52a661e42da6add2ae31f113b751143fc1,5169,3697,1472,0.2847746179144902,0.2847746179144902,0.284857861148714,0.715142138851286,0.715142138851286
